2023-05-11 22:05:55,109 INFO    MainThread:1405714 [wandb_setup.py:_flush():76] Current SDK version is 0.15.2
2023-05-11 22:05:55,110 INFO    MainThread:1405714 [wandb_setup.py:_flush():76] Configure stats pid to 1405714
2023-05-11 22:05:55,110 INFO    MainThread:1405714 [wandb_setup.py:_flush():76] Loading settings from /afs/csail.mit.edu/u/s/shuvom/.config/wandb/settings
2023-05-11 22:05:55,110 INFO    MainThread:1405714 [wandb_setup.py:_flush():76] Loading settings from /data/cb/shuvom/multimixup/MultiPointMixup/wandb/settings
2023-05-11 22:05:55,110 INFO    MainThread:1405714 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-05-11 22:05:55,110 INFO    MainThread:1405714 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-05-11 22:05:55,110 INFO    MainThread:1405714 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main_with_4.py', 'program': 'main_with_4.py'}
2023-05-11 22:05:55,110 INFO    MainThread:1405714 [wandb_init.py:_log_setup():507] Logging user logs to /data/cb/shuvom/multimixup/MultiPointMixup/wandb/run-20230511_220555-pe2c4370/logs/debug.log
2023-05-11 22:05:55,110 INFO    MainThread:1405714 [wandb_init.py:_log_setup():508] Logging internal logs to /data/cb/shuvom/multimixup/MultiPointMixup/wandb/run-20230511_220555-pe2c4370/logs/debug-internal.log
2023-05-11 22:05:55,111 INFO    MainThread:1405714 [wandb_init.py:init():547] calling init triggers
2023-05-11 22:05:55,111 INFO    MainThread:1405714 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'architecture': 'DG-CNN', 'dataset': 'MN40', 'epochs': 500, 'classes': 'up to 4', 'random_mixup': 'fixed 3'}
2023-05-11 22:05:55,111 INFO    MainThread:1405714 [wandb_init.py:init():596] starting backend
2023-05-11 22:05:55,111 INFO    MainThread:1405714 [wandb_init.py:init():600] setting up manager
2023-05-11 22:05:55,114 INFO    MainThread:1405714 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-05-11 22:05:55,119 INFO    MainThread:1405714 [wandb_init.py:init():606] backend started and connected
2023-05-11 22:05:55,127 INFO    MainThread:1405714 [wandb_init.py:init():700] updated telemetry
2023-05-11 22:05:55,213 INFO    MainThread:1405714 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2023-05-11 22:05:55,445 INFO    MainThread:1405714 [wandb_run.py:_on_init():2177] communicating current version
2023-05-11 22:05:55,519 INFO    MainThread:1405714 [wandb_run.py:_on_init():2186] got version response 
2023-05-11 22:05:55,519 INFO    MainThread:1405714 [wandb_init.py:init():787] starting run threads in backend
2023-05-11 22:06:03,242 INFO    MainThread:1405714 [wandb_run.py:_console_start():2158] atexit reg
2023-05-11 22:06:03,242 INFO    MainThread:1405714 [wandb_run.py:_redirect():2013] redirect: SettingsConsole.WRAP_RAW
2023-05-11 22:06:03,243 INFO    MainThread:1405714 [wandb_run.py:_redirect():2078] Wrapping output streams.
2023-05-11 22:06:03,243 INFO    MainThread:1405714 [wandb_run.py:_redirect():2103] Redirects installed.
2023-05-11 22:06:03,244 INFO    MainThread:1405714 [wandb_init.py:init():829] run started, returning control to user process
